z (m),p (Pa),U (m/s),T (K),H,H2,O,O2,H2O,OH,H2O2,HO2,AR,N2
0.020950195312499996,101325.0,4.015982500059153,548.7464895451315,6.995804156695514e-05,0.023498818378109562,4.517341759609607e-05,0.21518149983338875,0.014051348475763155,0.0007247657317411148,0.0003707534962796655,0.00033231651486943635,-2.67007580839413e-14,0.7457253661101123
0.020953124999999996,101325.0,4.127565688737362,564.793043056927,8.190916760589503e-05,0.02326580911830797,5.242823830827347e-05,0.2141469832043163,0.01531803007138237,0.0007648788057004222,0.00038590753047576385,0.0003139315988227058,-1.751555664178953e-14,0.7456701222647307
0.020956054687499996,101325.0,4.239812738495218,580.9732581376682,9.500592917842058e-05,0.023028740727189193,6.0699871674191875e-05,0.21307843262345685,0.016632051667604394,0.0007994080888439817,0.00039858993861728034,0.00029611922181549123,-1.3565884630276955e-14,0.7456109519312372
0.020958984374999996,101325.0,4.352416347515453,597.2448845998915,0.00010923852929538859,0.022787822307035552,7.014731745109328e-05,0.21197804932417502,0.01799092300969834,0.000828326781950757,0.0004086593472072225,0.00027906270749038486,-8.130522824152631e-15,0.745547770675126
0.020961914062499996,101325.0,4.4651079440168715,613.5707323713349,0.00012458979633804283,0.022543248057928466,8.095273974385701e-05,0.2108475514519599,0.01939237180400229,0.0008518300082878567,0.0004160560347574486,0.00026287908593785605,2.6981980161075267e-15,0.745480521021323
0.020964843749999997,101325.0,4.577656469009265,629.9185254395505,0.00014103701605496692,0.02229519576986174,9.332050722502035e-05,0.2096881427821977,0.02083440851277665,0.000870290520159919,0.0004207940238030702,0.0002476332690901294,-7.658573222197038e-15,0.7454091775976462
0.020967773437499997,101325.0,4.689866245736157,646.2606297549042,0.0001585536053327623,0.02204382605715109,0.00010747534229429956,0.2085005059271594,0.022315373533717445,0.0008842134353109814,0.0004229506142247886,0.00023335033629818579,1.8898469727765595e-14,0.7453337511487591
0.020970703124999997,101325.0,4.8015742372648935,662.5736956894227,0.00017711055317149845,0.021789282328979236,0.00012365970085236462,0.20728481467370477,0.023833966371841393,0.0008941939668175422,0.00042265477051339843,0.00022002587395891156,1.167877265990918e-14,0.7452542917613125
0.020973632812499997,101325.0,4.9126469496690355,678.8382498846378,0.00019667759072654898,0.021531691444191196,0.0001421305336022827,0.2060407605833329,0.025389257667921463,0.0009008806539437954,0.0004200754386499488,0.00020763447437129593,-1.9082185196362783e-14,0.7451708916125671
0.020976562499999997,101325.0,5.022977186709676,695.0382645895917,0.0002172240815112308,0.021271164963394724,0.00016315559441314645,0.20476758969964318,0.02698068580589965,0.0009049453443936025,0.000415410522876252,0.00019613659933153267,-7.520883006561336e-15,0.7450836873886161
0.020982421874999997,101325.0,5.2411945854476265,727.2103046507356,0.00026114371599870827,0.02074161697696627,0.00021362961821665862,0.2021308700653646,0.03027075674269317,0.0009072723777058972,0.0004005177136208806,0.00017565451812325483,-3.628057053420413e-14,0.7448985382701858
0.020988281249999997,101325.0,5.455772275456185,759.0164877585034,0.00030858461025823873,0.02020150355776183,0.0002770135901999411,0.19936820722625043,0.033699072488240146,0.0009067385725736692,0.00038037556199934,0.00015806467329084964,-1.4546517121989186e-14,0.7447004397182757
0.020994140624999998,101325.0,5.666530406524828,790.4184861608968,0.0003593282002038098,0.019651347688277903,0.00035519599496066235,0.1964649319529731,0.03727049770318001,0.0009075335962985972,0.00035676270497359816,0.00014296430157567988,1.276631056140891e-14,0.7444914378600767
0.020997070312499998,101325.0,5.770450983237297,805.9590194178348,0.0003858659692239459,0.019372688194631824,0.0004004794817035109,0.19495413710908654,0.03911280762002832,0.0009097697937208534,0.00034426264687945144,0.00013620749839387004,-3.275045597146551e-14,0.744383781685337
0.020999999999999998,101325.0,5.873393748432276,821.388596220107,0.00041315878153910796,0.019091686016778468,0.00045020850671966965,0.19339954767185855,0.040995593221401595,0.0009137002763670893,0.00033146984253094777,0.00012994187978059962,-5.13134492355028e-15,0.744274693805768
0.021002929687499998,101325.0,5.975368614709057,836.7063143683872,0.00044117874408978406,0.01880842231011311,0.0005045412416031459,0.1917988119821007,0.04291996740228235,0.0009197089710088242,0.00031856293969092895,0.00012411818990358628,-5.604803304090493e-14,0.7441646882169448
